"leaguage_id","home_team_id","away_team_id","season_id","home_sum_pkt_home_away_last_5","home_total_rows_home_away_last_5","away_sum_pkt_home_away_last_5","away_total_rows_home_away_last_5","sum_pkt_home_all","total_rows_home_all","sum_pkt_away_all","total_rows_away_all","sum_pkt_home_last_5","total_rows_home_last_5","sum_pkt_away_last_5","total_rows_away_last_5","type_1","type_0","type_2","type_10","type_02","type_12","home_value","home_players","away_value","away_players","ht_home_score","ht_away_score","ft_home_score","ft_away_score","ht_points","ft_points","bts","goals_2_5","tg"
6,12,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4.3,7.3,1.11,2.71,1.24,31480000.00,33,6750000.00,31,0,0,1,0,1,3,0,0,1
6,18,14,1,0,0,0,0,0,0,0,0,0,0,0,0,2.27,3.33,3.4,1.35,1.6800000000000002,1.3599999999999999,11180000.00,35,11400000.00,37,0,0,0,0,1,1,0,0,0
6,5,13,1,0,0,0,0,0,0,0,0,0,0,0,0,1.35,5.3,9.9,1.08,3.45,1.19,31650000.00,32,5000000.00,27,0,1,0,2,0,0,0,0,2
6,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,2.85,3.3,2.65,1.53,1.47,1.37,11180000.00,38,14150000.00,36,1,0,2,0,3,3,0,0,2
6,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,4.05,3.45,2.02,1.8599999999999999,1.27,1.35,7330000.00,39,19200000.00,34,0,0,1,1,1,1,1,0,2
6,11,8,1,0,0,0,0,0,0,0,0,0,0,0,0,2.32,3.35,3.3,1.37,1.6600000000000001,1.3599999999999999,10130000.00,40,9550000.00,37,0,0,1,1,1,1,1,0,2
6,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2.9,3.3,2.62,1.54,1.46,1.37,12750000.00,38,14600000.00,31,1,0,3,0,3,3,0,1,3
6,10,17,1,0,0,0,0,0,0,0,0,0,0,0,0,1.52,4.25,7.3,1.12,2.69,1.26,23500000.00,36,7350000.00,24,1,1,2,1,1,3,1,1,3
6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.37,3.3,3.25,1.38,1.6400000000000001,1.37,12900000.00,30,14950000.00,42,0,2,0,2,0,0,0,0,2
6,16,15,1,3,1,0,1,0,0,0,0,0,0,0,0,2.42,3.2,3.2,1.38,1.6,1.38,6750000.00,31,12750000.00,38,0,3,0,4,0,0,0,1,4
6,3,17,1,0,1,0,1,3,1,0,1,3,1,0,1,2.1,3.42,3.75,1.3,1.79,1.35,11180000.00,38,7350000.00,24,0,0,0,2,1,0,0,0,2
6,1,4,1,3,1,0,1,0,0,0,0,0,0,0,0,1.67,3.9,5.7,1.17,2.32,1.29,14950000.00,42,7330000.00,39,1,0,2,0,3,3,0,0,2
6,7,18,1,0,1,0,1,0,0,0,0,0,0,0,0,1.8399999999999999,3.7,4.6,1.23,2.05,1.31,19200000.00,34,11180000.00,35,1,0,2,0,3,3,0,0,2
6,13,11,1,3,1,0,1,0,0,0,0,0,0,0,0,2.67,3.3,2.83,1.48,1.52,1.37,5000000.00,27,10130000.00,40,0,0,1,1,1,1,1,0,2
6,1,7,1,3,2,0,2,3,1,0,1,3,1,0,1,2.8,3.3,2.62,1.51,1.46,1.35,14950000.00,42,19200000.00,34,1,0,3,0,3,3,0,1,3
6,11,2,1,0,2,3,1,0,1,0,0,0,1,0,0,2.64,3.3,2.86,1.47,1.53,1.37,10130000.00,40,12900000.00,30,0,2,0,3,0,0,0,1,3
6,10,3,1,0,2,3,2,3,1,0,0,3,1,0,0,1.57,4.3,6.2,1.15,2.54,1.25,23500000.00,36,11180000.00,38,1,0,1,0,3,3,0,0,1
6,5,15,1,3,1,3,2,0,1,3,1,0,1,3,1,1.5,4.6,6.8,1.13,2.74,1.23,31650000.00,32,12750000.00,38,0,1,1,3,0,0,1,1,4
6,17,6,1,3,2,0,1,0,0,0,1,0,0,0,1,2.97,3.5,2.45,1.61,1.44,1.34,7350000.00,24,14600000.00,31,1,2,2,3,0,0,1,1,5
6,28,7,4,0,3,0,2,3,1,0,0,3,1,0,0,4.85,3.75,1.76,2.11,1.2,1.29,6880000.00,36,31350000.00,32,2,0,3,1,3,3,1,1,4
6,13,1,1,6,3,3,3,0,1,3,1,0,1,3,1,3.2,3.3,2.31,1.62,1.36,1.34,4900000.00,28,13450000.00,34,1,0,2,0,3,3,0,0,2
6,7,9,1,0,3,3,2,3,1,0,1,3,1,0,1,2.01,3.45,3.85,1.27,1.82,1.32,19530000.00,31,14150000.00,34,0,0,2,0,1,3,0,0,2
6,6,4,1,3,2,0,3,0,0,0,1,0,0,0,1,1.65,4.25,5.3,1.19,2.36,1.26,14380000.00,29,8300000.00,39,0,1,0,1,0,0,0,0,1
6,14,17,1,0,3,6,3,3,1,3,2,3,1,3,2,2.21,3.35,3.55,1.33,1.72,1.36,11180000.00,34,7350000.00,24,0,0,0,0,1,1,0,0,0
6,16,10,1,9,3,0,3,0,1,0,1,0,1,0,1,3.85,3.5,2.06,1.83,1.3,1.34,7550000.00,32,22930000.00,31,0,2,1,2,0,0,1,1,3
6,2,12,1,6,2,6,2,0,1,0,0,0,1,0,0,3.4,3.5,2.21,1.72,1.35,1.34,12750000.00,28,32280000.00,33,1,0,1,0,3,3,0,0,1
6,15,8,1,6,3,3,2,3,1,0,1,3,1,0,1,1.81,3.55,5.1,1.2,2.09,1.34,12280000.00,33,9830000.00,36,2,1,4,1,3,3,1,1,5
6,8,18,1,3,3,3,4,0,1,3,2,0,1,3,2,2.85,3.28,2.67,1.52,1.47,1.38,9830000.00,36,11750000.00,36,0,0,0,1,1,0,0,0,1
6,17,7,1,6,4,0,4,0,1,0,2,0,1,0,2,3.75,3.6,2.05,1.84,1.31,1.33,7350000.00,24,19530000.00,31,0,2,1,2,0,0,1,1,3
6,2,13,1,6,3,6,4,3,2,3,2,3,2,3,2,1.8,3.8,4.6,1.22,2.08,1.29,12750000.00,28,4900000.00,28,1,2,1,3,0,0,1,1,4
